order,RoomTemp,Humidity,Age,enclosure,Time,location-pink,location-orange,location-green,location-black,location-purple,location-navy,sum,Carton-pink,Carton-orange,Carton-green,Carton-black,Carton-purple,Carton-navy,,
1,25,46,8,6,6:10,3,4,5,6,1,2,21,on,on,on,on,on,on,,
1,25,46,8,6,6:40,4.5,2,3,6,1,4.5,21,off,on,on,off,on,off,,
1,25,46,8,6,7:10,4,6,2,3,1,5,21,on,off,on,on,on,on,,
1,25,46,8,6,7:40,4,5,2,3,1,6,21,on,on,on,on,on,on,,
1,25,46,8,6,8:10,5,6,2,1,3,4,21,on,off,on,on,on,on,,
1,25,46,8,6,8:40,2,5,4,6,1,3,21,on,on,on,off,on,on,,
1,25,46,8,6,0:20,3,4,6,1,2,5,21,on,on,off,on,on,on,,
1,25,46,8,6,0:50,2,6,1,3,5,4,21,on,on,on,on,on,on,,
1,25,46,8,6,1:20,4,6,3,1.5,5,1.5,21,on,off,on,on,on,on,,
1,25,46,8,3,,36.5,50,29,34.5,23,37,210,0.9,0.6,0.9,0.8,1,0.9,,
1,24,36,10,1,5:40,3,4,1.5,1.5,5,6,21,on,on,on,on,on,off,,
1,24,36,10,1,6:10,4,5,2,3,6,1,21,on,on,on,on,on,on,,
1,24,36,10,1,6:40,4,6,2,5,3,1,21,on,on,on,on,on,on,,
1,24,36,10,1,7:10,1.5,6,3.5,1.5,5,3.5,21,on,off,on,on,on,on,,
1,24,36,10,1,7:40,3.5,5,2,1,3.5,6,21,on,on,on,on,on,off,,
1,24,36,10,1,8:10,5,6,3,4,2,1,21,on,off,on,on,on,on,,
1,24,36,10,1,8:40,1,2.5,5,4,6,2.5,21,on,on,on,on,off,on,,
1,24,36,10,1,0:20,3,5,3,6,3,1,21,on,off,on,off,on,on,,
1,24,36,10,1,0:50,2.5,6,1,4,5,2.5,21,on,on,on,on,on,on,,
1,24,36,10,1,1:20,6,2,4,5,3,1,21,off,on,off,off,on,on,,
1,24,36,10,1,,33.5,47.5,27,35,41.5,25.5,210,0.9,0.7,0.9,0.8,0.9,0.8,,
1,24,36,10,2,5:40,3,6,3,5,3,1,21,on,off,on,off,on,on,,
1,24,36,10,2,6:10,3,6,4,1,5,2,21,on,off,on,on,on,on,,
1,24,36,10,2,6:40,2,6,4,4,1,4,21,on,off,on,on,on,on,,
1,24,36,10,2,7:10,4,6,4,2,4,1,21,on,on,on,on,on,on,,
1,24,36,10,2,7:40,4,6,2,4,4,1,21,off,off,on,off,off,on,,
1,24,36,10,2,8:10,2,6,4,3,1,5,21,on,off,on,on,on,off,,
1,24,36,10,2,8:40,3,2,4.5,6,4.5,1,21,on,on,on,off,on,on,,
1,24,36,10,2,0:20,3,5.5,1,5.5,4,2,21,on,off,on,off,on,on,,
1,24,36,10,2,0:50,3,2,1,6,4,5,21,on,on,on,off,off,off,,
1,24,36,10,2,1:20,3,5,1,6,4,2,21,on,off,on,off,on,on,,
1,24,36,10,2,,30,50.5,28.5,42.5,34.5,24,210,0.9,0.3,1,0.4,0.8,0.8,,
1,24,36,10,3,5:40,1,6,4,3,2,5,21,on,off,on,on,on,on,,
1,24,36,10,3,6:10,1,4,6,5,2,3,21,on,off,off,off,on,off,,
1,24,36,10,3,6:40,1.5,1.5,4,3,6,5,21,on,on,on,on,off,off,,
1,24,36,10,3,7:10,3,1.5,6,1.5,4,5,21,on,on,off,on,on,off,,
1,24,36,10,3,7:40,6,2,3,1,4,5,21,off,on,on,on,on,off,,
1,24,36,10,3,8:10,5,1,3,4,2,6,21,off,on,on,off,on,off,,
1,24,36,10,3,8:40,6,3,1,5,4,2,21,off,on,on,off,off,on,,
1,24,36,10,3,0:20,3,4,2,5,1,6,21,on,on,on,off,on,off,,
1,24,36,10,3,0:50,5,4,1,3,2,6,21,off,on,on,on,on,off,,
1,24,36,10,3,1:20,6,1,3,5,2,4,21,off,on,on,off,on,off,,
1,24,36,10,3,,37.5,28,33,35.5,29,47,210,0.5,0.8,0.8,0.5,0.8,0.2,,
1,24,36,10,5,5:40,4,3,5,1,2,6,21,on,on,on,on,on,on,,
1,24,36,10,5,6:10,6,3,1,2,5,4,21,off,on,on,on,on,on,,
1,24,36,10,5,6:40,6,2,4,3,5,1,21,off,on,on,on,on,on,,
1,24,36,10,5,7:10,3.5,2,6,3.5,5,1,21,on,on,off,on,on,on,,
1,24,36,10,5,7:40,5,1,2,3,6,4,21,off,on,on,on,off,on,,
1,24,36,10,5,8:10,5,2.5,1,2.5,6,4,21,off,on,on,on,off,on,,
1,24,36,10,5,8:40,5,2,6,1,3,4,21,on,on,off,on,on,on,,
1,24,36,10,5,0:20,5,3,4,1,2,6,21,on,on,on,on,on,off,,
1,24,36,10,5,0:50,2,3,4,1,6,5,21,on,on,on,on,off,on,,
1,24,36,10,5,1:20,4,1,6,2,5,3,21,off,on,off,on,off,on,,
1,24,36,10,5,,45.5,22.5,39,20,45,38,210,0.5,1,0.7,1,0.6,0.9,,
1,24,36,10,6,5:40,3.5,2,5.5,3.5,5.5,1,21,on,on,on,on,on,on,,
1,24,36,10,6,6:10,6,2,3,1,4,5,21,off,on,on,on,on,on,,
1,24,36,10,6,6:40,6,1,3,2,5,4,21,off,on,on,on,on,on,,
1,24,36,10,6,7:10,5,6,1,3,2,4,21,on,off,on,on,on,on,,
1,24,36,10,6,7:40,2,6,1,3,5,4,21,on,on,on,on,on,on,,
1,24,36,10,6,8:10,5,6,2,3.5,3.5,1,21,on,off,on,on,on,on,,
1,24,36,10,6,8:40,2,6,5,2,4,2,21,on,off,on,on,on,on,,
1,24,36,10,6,0:20,5,2,4,6,3,1,21,off,on,on,off,on,on,,
1,24,36,10,6,0:50,5,2,4,6,3,1,21,on,on,on,on,on,on,,
1,24,36,10,6,1:20,1,4.5,2.5,6,2.5,4.5,21,on,on,on,off,on,on,,
1,24,36,10,6,,40.5,37.5,31,36,37.5,27.5,210,0.7,0.7,1,0.8,1,1,,
1,23,35,12,1,5:40,3,5,1.5,4,1.5,6,21,on,off,on,on,on,off,,
1,23,35,12,1,6:10,4,6,1,2.5,2.5,5,21,off,off,on,on,on,off,,
1,23,35,12,1,6:40,3,1,2,4,5,6,21,on,on,on,on,on,off,,
1,23,35,12,1,7:10,2.5,4,1,2.5,5,6,21,on,on,on,on,off,off,,
1,23,35,12,1,7:40,2,3,1,5,6,4,21,on,on,on,off,off,on,,
1,23,35,12,1,8:10,5,4,1,3,2,6,21,on,on,on,on,on,off,,
1,23,35,12,1,8:40,4,2,1,5,3,6,21,on,on,on,off,on,off,,
1,23,35,12,1,0:20,2,2,6,2,4,5,21,on,on,off,on,on,on,,
1,23,35,12,1,0:50,5,4,3,2,6,1,21,on,on,off,on,off,on,,
1,23,35,12,1,1:20,1,4.5,2,3,4.5,6,21,on,on,on,on,on,off,,
1,23,35,12,1,,31.5,35.5,19.5,33,39.5,51,210,0.9,0.8,0.8,0.8,0.7,0.3,,
1,23,35,12,2,5:40,2,4.5,1,6,4.5,3,21,on,on,on,off,on,on,,
1,23,35,12,2,6:10,6,2,5,3,4,1,21,off,on,on,on,on,on,,
1,23,35,12,2,6:40,5,4,3,2,6,1,21,on,on,on,on,off,on,,
1,23,35,12,2,7:10,3,4,5,6,2,1,21,on,off,off,off,on,on,,
1,23,35,12,2,7:40,1,3,4.5,6,2,4.5,21,on,on,on,off,on,on,,
1,23,35,12,2,8:10,6,3,2,4,1,5,21,off,on,on,off,on,off,,
1,23,35,12,2,8:40,4.5,6,1,3,2,4.5,21,on,off,on,on,on,on,,
1,23,35,12,2,0:20,4,3,1.5,5,1.5,6,21,on,on,on,on,on,off,,
1,23,35,12,2,0:50,6,1,2.5,5,2.5,4,21,off,on,on,off,on,on,,
1,23,35,12,2,1:20,1,2,5,4,3,6,21,on,on,off,off,on,off,,
1,23,35,12,2,,38.5,32.5,30.5,44,28.5,36,210,0.7,0.8,0.8,0.4,0.9,0.7,,
1,23,35,12,3,5:40,2,5.5,2,4,2,5.5,21,on,off,on,off,on,off,,
1,23,35,12,3,6:10,6,2.5,4,1,5,2.5,21,off,on,on,on,on,on,,
1,23,35,12,3,6:40,2,4.5,4.5,6,3,1,21,on,off,off,off,on,on,,
1,23,35,12,3,7:10,1,4,5,6,3,2,21,on,on,on,off,on,on,,
1,23,35,12,3,7:40,4,3,5,2,6,1,21,on,on,on,on,off,on,,
1,23,35,12,3,8:10,4,2,6,2,5,2,21,off,on,off,on,off,on,,
1,23,35,12,3,8:40,6,3,4,5,2,1,21,off,on,off,off,on,on,,
1,23,35,12,3,0:20,5,4,3,1,2,6,21,off,off,on,on,on,off,,
1,23,35,12,3,0:50,3,1,2,6,4.5,4.5,21,on,on,on,off,on,off,,
